century	prenominal	postnominal	total	postnominal_genitive	text	weight	type
11	7	1	8	0.125	coapollo.o3.psd	Light	ProperN
11	13	0	13	0	cobyrhtf.o3.psd	Light	ProperN
11	3	0	3	0	cocanedgD.psd	Light	ProperN
11	2	0	2	0	cocanedgX.psd	Light	ProperN
11	508	3	511	0.005870841	cocathom1.o3.psd	Light	ProperN
11	436	2	438	0.00456621	cocathom2.o3.psd	Light	ProperN
11	35	0	35	0	codocu3.o3.psd	Light	ProperN
11	1	0	1	0	coeluc1.psd	Light	ProperN
11	1	0	1	0	coeluc2.psd	Light	ProperN
11	3	0	3	0	coepigen.o3.psd	Light	ProperN
11	9	0	9	0	coeust.psd	Light	ProperN
11	14	0	14	0	coexodusP.psd	Light	ProperN
11	46	0	46	0	cogenesiC.psd	Light	ProperN
11	14	0	14	0	coinspolD.o34.psd	Light	ProperN
11	31	0	31	0	coinspolX.psd	Light	ProperN
11	11	0	11	0	cojames.psd	Light	ProperN
11	4	0	4	0	colacnu.o23.psd	Light	ProperN
11	15	0	15	0	colaw1cn.o3.psd	Light	ProperN
11	8	0	8	0	colaw2cn.o3.psd	Light	ProperN
11	8	0	8	0	colaw5atr.o3.psd	Light	ProperN
11	13	0	13	0	colaw6atr.o3.psd	Light	ProperN
11	5	0	5	0	colawnorthu.o3.psd	Light	ProperN
11	6	0	6	0	colsigef.o3.psd	Light	ProperN
11	30	0	30	0	colsigewB.psd	Light	ProperN
11	51	0	51	0	colsigewZ.o34.psd	Light	ProperN
11	15	0	15	0	colwgeat.psd	Light	ProperN
11	2	0	2	0	colwsigeT.psd	Light	ProperN
11	17	0	17	0	colwsigeXa.o34.psd	Light	ProperN
11	20	0	20	0	colwstan1.o3.psd	Light	ProperN
11	7	0	7	0	colwstan2.o3.psd	Light	ProperN
11	6	0	6	0	comargaT.psd	Light	ProperN
11	571	3	574	0.005226481	cootest.o3.psd	Light	ProperN
11	7	0	7	0	coprefcath1.o3.psd	Light	ProperN
11	2	0	2	0	coprefcath2.o3.psd	Light	ProperN
11	8	0	8	0	coprefgen.o3.psd	Light	ProperN
11	13	0	13	0	cosolsat1.o4.psd	Light	ProperN
11	6	0	6	0	cotempo.o3.psd	Light	ProperN
11	145	0	145	0	cowulf.o34.psd	Light	ProperN
9	17	3	20	0.15	coalex.o23.psd	Light	CommonN
9	213	47	260	0.180769231	cobede.o2.psd	Light	CommonN
9	40	8	48	0.166666667	coboeth.o2.psd	Light	CommonN
9	5	1	6	0.166666667	cochad.o24.psd	Light	CommonN
9	6	0	6	0	cochristoph.psd	Light	CommonN
9	23	1	24	0.041666667	cochronA.o23.psd	Light	CommonN
9	76	21	97	0.216494845	cocura.o2.psd	Light	CommonN
